xflr5 v6.43

NACA 63A-609
Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
 16.000       0.126     1.180    -0.070     0.004     1.000    0.0000  -10.2997
 Cpi          Cpv
-1.3979   -1.2662
-1.5061   -1.3516
-1.6339   -1.4549
-1.8035   -1.5884
-2.0237   -1.7538
-2.2886   -1.9508
-2.6246   -2.1874
-3.0152   -2.4243
-3.2091   -2.4633
-2.9467   -2.1507
-2.6592   -1.9707
-2.9499   -1.9624
-2.3132   -1.4419
-1.2446   -0.6070
-0.2556    0.1626
 0.5799    0.7750
 0.9413    0.9914
 0.9904    0.9567
 0.9099    0.8499
 0.8094    0.7454
 0.7166    0.6516
 0.6367    0.5770
 0.5675    0.5105
 0.5091    0.4565
 0.4595    0.4101
 0.4170    0.3707
 0.3803    0.3365
 0.3490    0.3072
 0.3221    0.2820
 0.2968    0.2584
 0.2800    0.2423
 0.2684    0.2317
 0.2649    0.2286
 0.2673    0.2312
 0.2736    0.2374
 0.2828    0.2463
 0.2944    0.2568
 0.3080    0.2682
 0.3220    0.2787
 0.3357    0.2866
 0.3293    0.2817
 0.2904    0.2510
 0.2742    0.2285
 0.2630    0.2102
 0.2553    0.1950
 0.2548    0.1833
 0.2433    0.1636
 0.2224    0.1359
 0.1933    0.1033
 0.1878    0.0895
-0.0000    0.0578
 0.5702    0.1618


Reynolds =  900000   Mach =    0  NCrit = 9.0
Alpha,Cd,Cl,Cm,XTr1,XTr2,TEHMom,Cpmn
  4.000       0.006     0.950    -0.119     0.529     1.000    0.0000  -1.7860
 Cpi          Cpv
-----------------
 0.5678    0.2042
-0.0777    0.1578
 0.0971    0.1402
 0.0570    0.1140
 0.0513    0.0895
 0.0313    0.0609
-0.0062    0.0234
-0.0655   -0.0285
-0.1463   -0.0972
-0.2007   -0.1586
-0.2722   -0.2317
-0.3961   -0.3419
-0.4603   -0.4107
-0.5054   -0.4598
-0.5621   -0.5148
-0.6188   -0.5675
-0.6755   -0.6218
-0.7314   -0.7046
-0.7863   -0.7694
-0.8386   -0.8089
-0.8848   -0.8489
-0.9192   -0.8814
-0.9508   -0.9096
-0.9694   -0.9282
-0.9944   -0.9506
-1.0223   -0.9751
-1.0528   -1.0017
-1.0889   -1.0330
-1.1356   -1.0715
-1.1833   -1.1126
-1.2517   -1.1684
-1.3295   -1.2333
-1.4331   -1.3181
-1.5652   -1.4214
-1.7149   -1.5371
-1.8971   -1.6718
-2.0881   -1.7860
-2.0942   -1.7172
-1.7624   -1.3613
-1.4436   -1.1291
-1.5384   -1.0626
-1.0378   -0.6253
